_id,address,dir,end_date,flash_speed,geometry,min_speed,schedule,sign_id,sign_name,speed_limit,start_date,strobe_speed,ward_no
10626,320 Kipling Avenue,SB,2021-04-19T10:00:00,51,"{'type': 'Point', 'coordinates': (-79.517488, 43.599208)}",30,Weekdays from 7 AM - 9 PM,2064,Kipling Ave SB ,50,2020-03-10T13:00:00,56,3.0
10627,18 Brampton Road,SB,,41,"{'type': 'Point', 'coordinates': (-79.561768, 43.686185)}",5,Weekdays from 7 AM - 9 PM,2414,Brampton Rd SB c - ,40,2020-10-26T11:00:00,46,2.0
10628,380 The Westway,WB,,41,"{'type': 'Point', 'coordinates': (-79.562045, 43.68460700000001)}",5,Weekdays from 7 AM - 9 PM,2415,The Westway WB c - ,40,2020-10-26T12:00:00,46,2.0
10629,380 The Westway,WB,,41,"{'type': 'Point', 'coordinates': (-79.562045, 43.68460700000001)}",5,Weekdays from 7 AM - 9 PM,2433,The Westway WB ,40,2020-10-27T00:00:00,46,2.0
10630, Elizabeth Street,EB,2021-05-14T17:00:00,31,"{'type': 'Point', 'coordinates': (-79.496548, 43.61454)}",20,Weekdays from 7 AM - 9 PM,2111,Stanley Ave EB ,30,2020-03-24T00:00:00,36,3.0
10631,18 Brampton Road,SB,,41,"{'type': 'Point', 'coordinates': (-79.561768, 43.686185)}",5,Weekdays from 7 AM - 9 PM,2448,Brampton Rd SB ,40,2020-10-27T00:00:00,46,2.0
10632,Denfield St 91m N of Widdicombe Hill Blvd,NB,,41,"{'type': 'Point', 'coordinates': (-79.554504, 43.679202)}",5,Weekdays from 7 AM - 9 PM,2676,DENFIELD ST NB ,40,2021-04-23T11:00:00,46,2.0
10633,Denfield St 91m S of Clement Rd,SB,,41,"{'type': 'Point', 'coordinates': (-79.555063, 43.680005)}",5,Weekdays from 7 AM - 9 PM,2678,DENFIELD ST SB ,40,2021-04-23T12:00:00,46,2.0
10634,106 Fern Avenue,WB,2021-10-10T21:00:00,31,"{'type': 'Point', 'coordinates': (-79.44487000000001, 43.645328)}",20,Weekdays from 7 AM - 9 PM,72,Fern Ave WB ,30,2019-03-20T06:00:00,36,4.0
10635,334 The East Mall,SB,,31,"{'type': 'Point', 'coordinates': (-79.557186, 43.638992)}",20,Weekdays from 7 AM - 9 PM,2759,The East Mall SB (1&#x2F;2) ,30,2021-10-05T00:00:00,36,2.0
10636,KIPLING AVE 175M S/OF THE WESTWAY,NB,,61,"{'type': 'Point', 'coordinates': (-79.553913, 43.684157)}",30,Weekdays from 7 AM - 9 PM,2808,KIPLING AVE NB ,60,2021-08-16T14:00:00,66,2.0
10637,387 THE WESTWAY,EB,,41,"{'type': 'Point', 'coordinates': (-79.56321542416, 43.68417157069)}",5,Weekdays from 7 AM - 9 PM,2882,THE WESTWAY EB ,40,2022-03-11T08:00:00,46,2.0
10638,86M W/OF KIPLING AVE,WB,,31,"{'type': 'Point', 'coordinates': (-79.555979, 43.685507)}",20,Weekdays from 7 AM - 9 PM,2895,THE WESTWAY WB ,30,2022-03-13T00:00:00,36,2.0
10639,THE EAST MALL 187M S/OF CAPRI DR,SB,,41,"{'type': 'Point', 'coordinates': (-79.562536, 43.651054)}",5,Weekdays from 7 AM - 9 PM,2898,THE EAST MALL SB ,40,2022-03-11T10:00:00,46,2.0
10640,333 Runnymede Road,NB,2021-07-19T23:00:00,31,"{'type': 'Point', 'coordinates': (-79.477359, 43.654033)}",20,Weekdays from 7 AM - 9 PM,272,Runnymede Rd NB ,30,2018-12-05T11:00:00,36,4.0
10641,278 Royal York Road,SB,,51,"{'type': 'Point', 'coordinates': (-79.497885, 43.614718)}",30,Weekdays from 7 AM - 9 PM,93,Royal York Rd SB ,50,2019-04-03T08:00:00,56,3.0
10642,30 Marmaduke Street,WB,2018-07-03T08:00:00,31,"{'type': 'Point', 'coordinates': (-79.45129900845352, 43.6504567511146)}",20,Weekdays from 7 AM - 9 PM,362,Marmaduke St WB ,30,2018-02-02T15:00:00,36,4.0
10643,112 Norseman Street,EB,,31,"{'type': 'Point', 'coordinates': (-79.51753, 43.634576)}",20,Weekdays from 7 AM - 9 PM,101,Norseman St EB ,30,2018-01-16T12:00:00,36,3.0
10644,30 Mimico Avenue,WB,,31,"{'type': 'Point', 'coordinates': (-79.490724, 43.613600000000005)}",20,Weekdays from 7 AM - 9 PM,112,Mimico Ave WB ,30,2019-03-07T11:00:00,36,3.0
10645,284 The East Mall,SB,,31,"{'type': 'Point', 'coordinates': (-79.556752, 43.635698)}",20,Weekdays from 7 AM - 9 PM,121,The East Mall SB (2&amp;#x2F;2) ,30,2018-11-02T12:00:00,36,3.0
10646,28 Coules Court,WB,,31,"{'type': 'Point', 'coordinates': (-79.549365, 43.608118)}",20,Weekdays from 7 AM - 9 PM,159,Coules Crt WB ,30,2019-04-03T09:00:00,36,3.0
10647,1480 Bloor Street West,WB,2020-05-05T23:00:00,41,"{'type': 'Point', 'coordinates': (-79.4505424948294, 43.6569126947666)}",30,Weekdays from 12 AM,552,Bloor St W WB ,40,2017-02-24T10:00:00,46,4.0
10648,2447 Dundas Street West ,SB,2020-10-16T14:00:00,31,"{'type': 'Point', 'coordinates': (-79.4534178228943, 43.65918696692161)}",20,Weekdays from 7 AM - 9 PM,586,Dundas St W SB ,30,2016-11-17T13:00:00,36,4.0
10649,2269 Dundas Street West ,NB,2020-05-05T23:00:00,41,"{'type': 'Point', 'coordinates': (-79.4521196337318, 43.6548634474476)}",30,Weekdays from 12 AM,643,Dundas St W NB ,40,2016-12-15T11:00:00,46,4.0
10650,29 Jane Street,NB,2020-06-26T14:00:00,41,"{'type': 'Point', 'coordinates': (-79.484749, 43.650243)}",30,Weekdays from 7 AM - 9 PM,670,Jane St NB ,40,2018-01-16T10:00:00,46,4.0
10651,148 Varsity Road,EB,2020-03-27T13:00:00,31,"{'type': 'Point', 'coordinates': (-79.50092800000002, 43.662937)}",20,Weekdays from 7 AM - 9 PM,725,Varsity Rd EB ,30,2018-01-22T11:00:00,36,4.0
10652,109 Jameson Avenue,NB,2020-03-09T13:00:00,41,"{'type': 'Point', 'coordinates': (-79.435318, 43.635557)}",5,Weekdays from 7 AM - 9 PM,888,Jameson Ave NB ,40,2019-12-19T13:00:00,46,4.0
10653,21 Montgomery Road,NB,,41,"{'type': 'Point', 'coordinates': (-79.516682, 43.647954000000006)}",30,Weekdays from 7 AM - 9 PM,193,Montgomery Rd NB ,40,2019-03-20T08:00:00,46,3.0
10654,87 Norseman Street,WB,,31,"{'type': 'Point', 'coordinates': (-79.514798, 43.635297)}",20,Weekdays from 7 AM - 9 PM,292,Norseman St WB ,30,2018-01-16T13:00:00,36,3.0
10655,156 Varsity Road,EB,2021-11-10T12:00:00,31,"{'type': 'Point', 'coordinates': (-79.50101, 43.662984)}",20,Weekdays from 7 AM - 9 PM,2120,Varsity Rd EB ,30,2020-03-27T14:00:00,36,4.0
10656,1515 Bloor Street West,WB,2020-10-12T10:00:00,41,"{'type': 'Point', 'coordinates': (-79.450857, 43.656642)}",30,Weekdays from 12 AM,2191,Bloor St W WB ,40,2020-05-07T00:00:00,46,4.0
10657, Royal York Road,NB,,31,"{'type': 'Point', 'coordinates': (-79.505204, 43.632737)}",20,Weekdays from 7 AM - 9 PM,481,Royal York Rd NB ,30,2019-03-07T11:00:00,36,3.0
10658,32 Montgomery Road,SB,,41,"{'type': 'Point', 'coordinates': (-79.519897, 43.649478)}",30,Weekdays from 7 AM - 9 PM,563,Montgomery Rd SB ,40,2019-03-12T06:00:00,46,3.0
10659,3180 Lake Shore Boulevard West,WB,,51,"{'type': 'Point', 'coordinates': (-79.518265, 43.598048)}",30,Weekdays from 7 AM - 9 PM,2065,Lake Shore Blvd WB ,50,2020-03-10T13:00:00,56,3.0
10660,3182 Lake Shore Boulevard West,EB,,51,"{'type': 'Point', 'coordinates': (-79.518351, 43.597847)}",30,Weekdays from 7 AM - 9 PM,2066,Lake Shore Blvd W EB ,50,2020-03-11T10:00:00,56,3.0
10661, Colonel Samuel Smith Park Drive,NB,,41,"{'type': 'Point', 'coordinates': (-79.515931, 43.59609)}",5,Weekdays from 7 AM - 9 PM,2072,Colonel Samuel Smith Pk Dr NB ,40,2020-03-11T11:00:00,46,3.0
10662,70 Government Road,EB,,41,"{'type': 'Point', 'coordinates': (-79.508725, 43.659414)}",5,Weekdays from 7 AM - 9 PM,2408,Government Rd EB - c ,40,2020-10-21T14:00:00,46,3.0
10663,70 Government Road,WB,,41,"{'type': 'Point', 'coordinates': (-79.508725, 43.659414)}",5,Weekdays from 7 AM - 9 PM,2413,Government Rd WB ,40,2020-10-22T00:00:00,46,3.0
10664,"1, Promenade Circle",,2021-10-13T08:00:00,41,"{'type': 'Point', 'coordinates': (-79.45164210286902, 43.808749530528)}",5,Weekdays from 7 AM - 9 PM,2860,D- ,40,2022-02-28T00:00:00,46,
10665,284 The East Mall,SB,,31,"{'type': 'Point', 'coordinates': (-79.556752, 43.635698)}",20,Weekdays from 7 AM - 9 PM,2754,The East Mall SB (2&#x2F;2) ,30,2021-10-05T00:00:00,36,3.0
10666,1577 Bloor Street West ,EB,2023-01-21T01:00:00,41,"{'type': 'Point', 'coordinates': (-79.4545550795167, 43.6558298625681)}",30,Weekdays from 12 AM,488,Bloor St W EB ,40,2016-12-15T11:00:00,46,4.0
10667,158 Sunnyside Avenue,NB,,31,"{'type': 'Point', 'coordinates': (-79.450178, 43.643047)}",20,Weekdays from 7 AM - 9 PM,151,Sunnyside Ave NB ,30,2019-04-11T09:00:00,36,4.0
10668,125 Varsity Road,WB,,31,"{'type': 'Point', 'coordinates': (-79.498917, 43.66192)}",20,Weekdays from 7 AM - 9 PM,168,Varsity Rd WB ,30,2017-12-13T11:00:00,36,4.0
10669,207 Windermere Avenue,NB,,31,"{'type': 'Point', 'coordinates': (-79.47627300000002, 43.642751)}",20,Weekdays from 7 AM - 9 PM,228,Windermere Ave NB ,30,2018-01-24T12:00:00,36,4.0
10670,11 Duckworth Street,NB,2020-07-08T14:00:00,31,"{'type': 'Point', 'coordinates': (-79.499714, 43.70264)}",20,Weekdays from 7 AM - 9 PM,74,Duckworth St NB ,30,2019-03-11T08:00:00,36,5.0
10671,214 Windermere Avenue,SB,,31,"{'type': 'Point', 'coordinates': (-79.478022, 43.643963)}",20,Weekdays from 7 AM - 9 PM,237,Windermere Ave SB ,30,2018-01-24T12:00:00,36,4.0
10672,236 Annette Street,EB,,41,"{'type': 'Point', 'coordinates': (-79.47079, 43.662649)}",30,Weekdays from 7 AM - 9 PM,309,Annette St EB ,40,2019-03-07T10:00:00,46,4.0
10673,50 Leigh Street,EB,2018-11-22T18:00:00,41,"{'type': 'Point', 'coordinates': (-79.478635, 43.675533)}",30,Weekdays from 7 AM - 9 PM,136,McCormack Ave EB ,40,2018-01-22T11:00:00,46,5.0
10674,18 Rexford Road,EB,,31,"{'type': 'Point', 'coordinates': (-79.486237, 43.663628)}",20,Weekdays from 7 AM - 9 PM,375,Rexford Dr EB ,30,2019-03-11T07:00:00,36,4.0
10675,34 Brookside Avenue,SB,,31,"{'type': 'Point', 'coordinates': (-79.49191800000001, 43.6608)}",20,Weekdays from 7 AM - 9 PM,431,Brookside Ave SB ,30,2018-11-02T12:00:00,36,4.0
10676,225 Garden Avenue,EB,,31,"{'type': 'Point', 'coordinates': (-79.448613, 43.642732)}",20,Weekdays from 7 AM - 9 PM,520,Galley Ave EB ,30,2019-04-11T10:00:00,36,4.0
10677,8 Saint Mark's Road,WB,,31,"{'type': 'Point', 'coordinates': (-79.48984200000001, 43.660301)}",20,Weekdays from 7 AM - 9 PM,1000,St Marks Rd WB ,30,2018-11-02T12:00:00,36,4.0
10678,92 Jane Street,SB,,31,"{'type': 'Point', 'coordinates': (-79.485482, 43.651579)}",20,Weekdays from 7 AM - 9 PM,2217,Jane St SB ,30,2020-05-29T11:00:00,36,4.0
10679,29 Jane Street,NB,,31,"{'type': 'Point', 'coordinates': (-79.484707, 43.650144)}",20,Weekdays from 7 AM - 9 PM,2229,Jane St NB ,30,2020-07-06T11:00:00,36,4.0
10680,2393 Dundas Street West,SB,,41,"{'type': 'Point', 'coordinates': (-79.453415, 43.65921900000001)}",5,Weekdays from 7 AM - 9 PM,2510,Dundas St W SB - c,40,2020-11-11T09:00:00,46,4.0
10681,62 Lambton Avenue,WB,2020-09-23T09:00:00,31,"{'type': 'Point', 'coordinates': (-79.488191, 43.683352000000006)}",20,Weekdays from 7 AM - 9 PM,482,Lambton Ave WB ,30,2019-03-11T06:00:00,36,5.0
10682,100 Mountview Avenue,SB,,41,"{'type': 'Point', 'coordinates': (-79.46235, 43.6577)}",5,Weekdays from 7 AM - 9 PM,2511,Mountainview Ave SB - C,40,2020-11-12T11:00:00,46,4.0
10683,26 Seneca Avenue,EB,2018-03-03T08:00:00,41,"{'type': 'Point', 'coordinates': (-79.477451, 43.680184)}",30,Weekdays from 7 AM - 9 PM,601,Avon Ave EB ,40,2017-12-13T16:00:00,46,5.0
10684,303 Rockcliffe Boulevard,NB,2019-10-11T14:00:00,31,"{'type': 'Point', 'coordinates': (-79.487927, 43.673787)}",20,Weekdays from 7 AM - 9 PM,638,Rockcliffe Blvd NB ,30,2018-01-19T14:00:00,36,5.0
10685,1 Ralph Street,SB,2020-12-29T11:00:00,31,"{'type': 'Point', 'coordinates': (-79.512855, 43.701977)}",20,Weekdays from 7 AM - 9 PM,803,Ralph St SB ,30,2019-11-18T11:00:00,36,5.0
10686,100 Mountview Avenue,SB,,41,"{'type': 'Point', 'coordinates': (-79.46235, 43.6577)}",5,Weekdays from 7 AM - 9 PM,2517,Mountainview Ave SB ,40,2020-11-18T00:00:00,46,4.0
10687,2393 Dundas Street West,SB,,41,"{'type': 'Point', 'coordinates': (-79.453415, 43.65921900000001)}",5,Weekdays from 7 AM - 9 PM,2518,Dundas St W SB ,40,2020-11-18T00:00:00,46,4.0
10688,"1, Promenade Circle",,2021-12-02T13:00:00,41,"{'type': 'Point', 'coordinates': (-79.451529062221, 43.808859959862)}",5,Weekdays from 7 AM - 9 PM,2869,D - ,40,2022-02-28T00:00:00,46,
10689,342 Clendenan Avenue,SB,,31,"{'type': 'Point', 'coordinates': (-79.471688, 43.66066)}",20,Weekdays from 7 AM - 9 PM,2523,Clendenan Ave SB ,30,2020-11-23T11:00:00,36,4.0
10690,30 Marmaduke Street,WB,,31,"{'type': 'Point', 'coordinates': (-79.452196, 43.650275)}",20,Weekdays from 7 AM - 9 PM,2576,Marmaduke St WB ,30,2021-01-05T09:00:00,36,4.0
10691,2079/2079A KEELE ST,NB,,51,"{'type': 'Point', 'coordinates': (-79.474473028712, 43.693477162454)}",30,Weekdays from 7 AM - 9 PM,25754,KEELE ST NB ,50,2022-09-02T10:00:00,56,5.0
10692,327/329 RUNNYMEDE RD,NB,,41,"{'type': 'Point', 'coordinates': (-79.47731700000001, 43.653987)}",5,Weekdays from 7 AM - 9 PM,2804,RUNNYMEDE RD NB ,40,2021-07-21T00:00:00,46,4.0
10693,OPP 282 INDIAN ROAD CRES,NB,,31,"{'type': 'Point', 'coordinates': (-79.46075494709301, 43.662963147136)}",20,Weekdays from 7 AM - 9 PM,2881,INDIAN ROAD CRES NB ,30,2022-03-11T13:00:00,36,4.0
10694,218 Bicknell Avenue,NB,,31,"{'type': 'Point', 'coordinates': (-79.476592, 43.688155)}",20,Weekdays from 7 AM - 9 PM,100,Bicknell Ave NB ,30,2019-01-03T15:00:00,36,5.0
10695,75 Emmett Avenue,WB,,31,"{'type': 'Point', 'coordinates': (-79.504856, 43.686968)}",20,Weekdays from 7 AM - 9 PM,115,Emmett Ave WB ,30,2019-03-07T10:00:00,36,5.0
10696,197 Bicknell Avenue,SB,,31,"{'type': 'Point', 'coordinates': (-79.475825, 43.686837)}",20,Weekdays from 7 AM - 9 PM,141,Bicknell Ave SB ,30,2019-01-03T14:00:00,36,5.0
10697,49 Pamille Place,NB,,31,"{'type': 'Point', 'coordinates': (-79.500654, 43.701353)}",20,Weekdays from 7 AM - 9 PM,191,Tedder St NB ,30,2019-03-11T08:00:00,36,5.0
10698,45 Comay Road,NB,,31,"{'type': 'Point', 'coordinates': (-79.479681, 43.69716)}",20,Weekdays from 7 AM - 9 PM,200,Comay Rd NB ,30,2019-03-06T11:00:00,36,5.0
10699,86 Guestville Avenue,SB,,31,"{'type': 'Point', 'coordinates': (-79.489758, 43.684437)}",20,Weekdays from 7 AM - 9 PM,242,Guestville Ave SB ,30,2019-03-11T06:00:00,36,5.0
10700,PETHERHILL AVE 92M S/OF WILSON AVE,NB,,51,"{'type': 'Point', 'coordinates': (-79.490875786812, 43.723858851848)}",30,Weekdays from 7 AM - 9 PM,50082,PETHERHILL AVE NB ,50,2022-12-07T09:00:00,56,6.0
10701,80 McCormack Street,WB,,31,"{'type': 'Point', 'coordinates': (-79.476937, 43.676097)}",20,Weekdays from 7 AM - 9 PM,356,McCormack St WB ,30,2018-01-11T11:00:00,36,5.0
10702,25 Porter Avenue,SB,,31,"{'type': 'Point', 'coordinates': (-79.479179, 43.681759)}",20,Weekdays from 7 AM - 9 PM,457,Avon Ave SB ,30,2017-12-13T16:00:00,36,5.0
10703,400 Rockcliffe Boulevard,SB,,31,"{'type': 'Point', 'coordinates': (-79.488743, 43.675147)}",20,Weekdays from 7 AM - 9 PM,596,Rockcliffe Blvd SB ,30,2018-01-19T15:00:00,36,5.0
10704,958 Jane Street,NB,,51,"{'type': 'Point', 'coordinates': (-79.497292, 43.680276000000006)}",30,Weekdays from 7 AM - 9 PM,618,Jane St NB ,50,2019-03-20T06:00:00,56,5.0
10705,103 Lambton Avenue,EB,,31,"{'type': 'Point', 'coordinates': (-79.489639, 43.68287200000001)}",20,Weekdays from 7 AM - 9 PM,673,Lambton Ave EB  ,30,2019-04-15T07:00:00,36,5.0
10706,38 Comay Road,SB,,31,"{'type': 'Point', 'coordinates': (-79.478846, 43.697953000000005)}",20,Weekdays from 7 AM - 9 PM,728,Comay Rd SB ,30,2019-03-20T07:00:00,36,5.0
10707,36 George Street,SB,,41,"{'type': 'Point', 'coordinates': (-79.520766, 43.702989)}",5,Weekdays from 7 AM - 9 PM,871,George St SB ,40,2019-12-09T11:00:00,46,5.0
10708,71 Buckland Road,NB,2021-04-19T10:00:00,41,"{'type': 'Point', 'coordinates': (-79.502933, 43.740208)}",5,Weekdays from 7 AM - 9 PM,889,Buckland Rd NB ,40,2019-12-19T11:00:00,46,6.0
10709,88 Pritchard Avenue,WB,,31,"{'type': 'Point', 'coordinates': (-79.490905, 43.670034)}",20,Weekdays from 7 AM - 9 PM,952,Pritchard Ave WB ,30,2019-04-12T06:00:00,36,5.0
10710,235 Queen&amp;#39;s Drive,WB,,31,"{'type': 'Point', 'coordinates': (-79.508, 43.70684)}",20,Weekdays from 7 AM - 9 PM,2096,Queen&amp;#39;s Dr WB ,30,2020-03-19T00:00:00,36,5.0
10711,Rockcliffe Blvd 100m N/O Terry Dr,NB,,31,"{'type': 'Point', 'coordinates': (-79.487933, 43.673693)}",20,Weekdays from 7 AM - 9 PM,2661,ROCKCLIFFE BLVD NB ,30,2021-03-25T09:00:00,36,5.0
10712,60/62 Lambton Ave,WB,,41,"{'type': 'Point', 'coordinates': (-79.488102, 43.683338)}",5,Weekdays from 7 AM - 9 PM,2677,LAMBTON AVE WB ,40,2021-04-23T09:00:00,46,5.0
10713,235 Queen&#39;s Drive,WB,,31,"{'type': 'Point', 'coordinates': (-79.508, 43.70684)}",20,Weekdays from 7 AM - 9 PM,2771,Queen&#39;s Dr WB ,30,2021-10-05T00:00:00,36,5.0
10714,OPP 9 DUCKWORTH ST,SB,,31,"{'type': 'Point', 'coordinates': (-79.499784, 43.702681)}",20,Weekdays from 7 AM - 9 PM,2802,DUCKWORTH ST SB ,30,2021-07-19T11:00:00,36,5.0
10715,WILSON AVE 88M E/OF JULIAN RD,WB,,51,"{'type': 'Point', 'coordinates': (-79.490069190307, 43.724940219236)}",30,Weekdays from 7 AM - 9 PM,51242,WILSON AVE WB ,50,2022-12-07T09:00:00,56,6.0
10716,OPP 51 PLAYFAIR AVE,WB,,41,"{'type': 'Point', 'coordinates': (-79.45737395961, 43.710114737153)}",5,Weekdays from 7 AM - 9 PM,30458,PLAYFAIR AVE WB ,40,2022-10-17T09:00:00,46,8.0
10717,21/23 JOYCE PKWY,EB,,41,"{'type': 'Point', 'coordinates': (-79.463356504473, 43.70949961566801)}",5,Weekdays from 7 AM - 9 PM,30493,JOYCE PKWY EB ,40,2022-10-17T09:00:00,46,8.0
10718,THE EAST MALL 45M N/OF KEANE AVE,NB,,41,"{'type': 'Point', 'coordinates': (-79.560279, 43.649091)}",5,Weekdays from 7 AM - 9 PM,2897,THE EAST MALL NB ,40,2022-03-11T11:00:00,46,2.0
10719,55 Jutland Road,EB,,31,"{'type': 'Point', 'coordinates': (-79.519735, 43.62825)}",20,Weekdays from 7 AM - 9 PM,124,Jutland Rd EB  ,30,2019-03-07T07:00:00,36,3.0
10720,55 Jutland Road,EB,,31,"{'type': 'Point', 'coordinates': (-79.519735, 43.62825)}",20,Weekdays from 7 AM - 9 PM,752,Jutland Rd EB ,30,2019-11-22T00:00:00,36,3.0
10721,OPP 148 STANLEY AVE,EB,,31,"{'type': 'Point', 'coordinates': (-79.496507820681, 43.614558643652)}",20,Weekdays from 7 AM - 9 PM,2841,STANLEY AVE EB ,30,2022-02-08T14:00:00,36,3.0
10722,45 Pearldale Avenue,SB,2020-02-14T11:00:00,41,"{'type': 'Point', 'coordinates': (-79.563417, 43.749319)}",30,Weekdays from 7 AM - 9 PM,92,Pearldale Ave SB ,40,2019-01-03T13:00:00,46,7.0
10723,440 Runnymede Road,SB,,41,"{'type': 'Point', 'coordinates': (-79.478956, 43.65732)}",5,Weekdays from 7 AM - 9 PM,1976,Runnymede Rd SB ,40,2020-03-05T12:00:00,46,4.0
10724,3418 Weston Road,SB,2020-03-03T06:00:00,51,"{'type': 'Point', 'coordinates': (-79.541904, 43.749331)}",30,Weekdays from 7 AM - 9 PM,166,Weston Rd SB ,50,2019-03-06T10:00:00,56,7.0
10725,52 Mountview Avenue,NB,,41,"{'type': 'Point', 'coordinates': (-79.461731, 43.65627)}",5,Weekdays from 7 AM - 9 PM,2512,Mountainview Ave NB - C,40,2020-11-12T12:00:00,46,4.0
10726,52 Mountview Avenue,NB,,41,"{'type': 'Point', 'coordinates': (-79.461731, 43.65627)}",5,Weekdays from 7 AM - 9 PM,2520,Mountainview Ave NB ,40,2020-11-18T00:00:00,46,4.0
10727,195 Sentinel Road  ,,2017-03-01T12:00:00,41,"{'type': 'Point', 'coordinates': (-79.497953221378, 43.7526621335082)}",30,Weekdays from 7 AM - 9 PM,291,Sentinel ,40,2016-01-01T00:00:00,46,7.0
10728,296 Sentinel Road,SB,2019-11-27T23:00:00,41,"{'type': 'Point', 'coordinates': (-79.500184, 43.754667)}",30,Weekdays from 7 AM - 9 PM,294,Sentinel Rd SB ,40,2019-08-01T00:00:00,46,7.0
10729,150 Sharpecroft Boulevard,SB,,31,"{'type': 'Point', 'coordinates': (-79.489756, 43.750103)}",20,Weekdays from 7 AM - 9 PM,91,Sharpecroft Blvd SB ,30,2019-03-11T08:00:00,36,6.0
10730,Clendenan Av opp Rowland St,NB,,31,"{'type': 'Point', 'coordinates': (-79.471369, 43.660358)}",20,Weekdays from 7 AM - 9 PM,2649,CLENDENAN AVE NB ,30,2021-03-23T14:00:00,36,4.0
10731,32 Granite Street,WB,,41,"{'type': 'Point', 'coordinates': (-79.448271, 43.748365)}",30,Weekdays from 7 AM - 9 PM,189,Bainbridge Ave WB ,40,2019-04-16T09:00:00,46,6.0
10732,89 Letchworth Crescent,NB,,31,"{'type': 'Point', 'coordinates': (-79.494487, 43.728834)}",20,Weekdays from 7 AM - 9 PM,227,Letchworth Cres NB ,30,2019-04-03T09:00:00,36,6.0
10733,345 Wilmington Avenue,NB,,31,"{'type': 'Point', 'coordinates': (-79.460103, 43.768824)}",20,Weekdays from 7 AM - 9 PM,274,Wilmington Ave NB ,30,2018-01-16T15:00:00,36,6.0
10734,101 Yatescastle Drive,NB,2021-01-14T08:00:00,41,"{'type': 'Point', 'coordinates': (-79.508455, 43.743909)}",5,Weekdays from 7 AM - 9 PM,935,Yatescastle Dr NB ,40,2019-11-04T11:00:00,46,7.0
10735,2813 Keele Street,NB,,31,"{'type': 'Point', 'coordinates': (-79.482622, 43.729739)}",20,Weekdays from 7 AM - 9 PM,282,Keele St NB ,30,2019-03-20T06:00:00,36,6.0
10736,25 Gade Drive,EB,,31,"{'type': 'Point', 'coordinates': (-79.490174, 43.728303)}",20,Weekdays from 7 AM - 9 PM,352,Gade Dr EB ,30,2018-10-18T08:00:00,36,6.0
10737,349 Grandravine Drive,WB,2019-12-11T23:00:00,41,"{'type': 'Point', 'coordinates': (-79.513248, 43.747394)}",5,Weekdays from 7 AM - 9 PM,997,Grandravine Ave WB ,40,2019-11-01T13:00:00,46,7.0
10738,81 Sharpecroft Boulevard,NB,,31,"{'type': 'Point', 'coordinates': (-79.48909, 43.747687000000006)}",20,Weekdays from 7 AM - 9 PM,441,Sharpecroft Blvd NB ,30,2019-04-11T09:00:00,36,6.0
10739,285 Wilmington Avenue,NB,,31,"{'type': 'Point', 'coordinates': (-79.459095, 43.766502)}",20,Weekdays from 7 AM - 9 PM,463,Wilmington Ave NB ,30,2018-01-16T15:00:00,36,6.0
10740,2 Renoak Drive,WB,,31,"{'type': 'Point', 'coordinates': (-79.450126, 43.78567)}",20,Weekdays from 7 AM - 9 PM,542,Rockford Rd WB ,30,2019-03-11T08:00:00,36,6.0
10741,86 Faywood Boulevard,NB,,31,"{'type': 'Point', 'coordinates': (-79.447478, 43.739531)}",20,Weekdays from 7 AM - 9 PM,590,Faywood Blvd NB ,30,2019-03-07T09:00:00,36,6.0
10742,195 Sentinel Road  ,NB,2017-03-01T12:00:00,41,"{'type': 'Point', 'coordinates': (-79.497953221378, 43.7526621335082)}",30,Weekdays from 7 AM - 9 PM,2158,Sentinel Rd NB ,40,2020-04-16T00:00:00,46,7.0
10743,2860 Keele Street,SB,,31,"{'type': 'Point', 'coordinates': (-79.48343, 43.732043)}",20,Weekdays from 7 AM - 9 PM,665,Keele St SB ,30,2019-03-20T07:00:00,36,6.0
10744,64 Bainbridge Avenue,EB,,41,"{'type': 'Point', 'coordinates': (-79.443133, 43.749605)}",30,Weekdays from 7 AM - 9 PM,687,Bainbridge Ave EB ,40,2019-03-20T08:00:00,46,6.0
10745,118 Faywood Boulevard,SB,,31,"{'type': 'Point', 'coordinates': (-79.44798800000001, 43.741241)}",20,Weekdays from 7 AM - 9 PM,730,Faywood Blvd SB ,30,2019-03-07T09:00:00,36,6.0
10746,56 Stilecroft Drive,EB,,41,"{'type': 'Point', 'coordinates': (-79.491564, 43.751099)}",5,Weekdays from 7 AM - 9 PM,945,Stilecroft Dr EB ,40,2020-01-17T10:00:00,46,6.0
10747,151 McCormack Street,EB,,41,"{'type': 'Point', 'coordinates': (-79.478725, 43.675532)}",5,Weekdays from 7 AM - 9 PM,2188,McCormack St EB ,40,2020-05-04T08:00:00,46,5.0
10748,29 Avon Avenue,EB,,41,"{'type': 'Point', 'coordinates': (-79.477447, 43.680172)}",5,Weekdays from 7 AM - 9 PM,2189,Avon Ave EB ,40,2020-05-04T09:00:00,46,5.0
10749,RALPH ST 45m S/OF MACDONALD AVE,SB,,31,"{'type': 'Point', 'coordinates': (-79.512596189922, 43.702039292722)}",20,Weekdays from 7 AM - 9 PM,18297,RALPH ST SB ,30,2022-08-25T09:00:00,36,5.0
10750,271 Faywood Boulevard,NB,,31,"{'type': 'Point', 'coordinates': (-79.451181, 43.751535)}",20,Weekdays from 7 AM - 9 PM,994,Faywood Blvd NB ,30,2019-03-07T09:00:00,36,6.0
